Card Name,Card Code,Days Since Print,Rarity,Price,Availability
Fusion Deployment,SDCS-EN030,187,Super Rare,0.49,Out of Stock
The Legendary Fisherman,LEDU-EN019,978,Common,0.39,Out of Stock
Fiend Griefing,TAMA-EN059,1342,Rare,0.39,Out of Stock
Hot Red Dragon Archfiend King Calamity,SDCK-EN047,950,Super Rare,0.49,Out of Stock
Bujingi Hare,LVAL-EN030,4261,Super Rare,3.29,Out of Stock
Cybernetic Hidden Technology,SDCR-EN030,4464,Common,0.29,Out of Stock
Duoterion,LEDU-EN037,1297,Super Rare,25.09,Out of Stock
Fiendish Golem,SDCK-EN032,950,Common,0.29,Out of Stock
Imperial Iron Wall,TAMA-EN058,1146,Rare,0.39,Out of Stock
Ghostrick Mansion,SHSP-EN062,4261,Common,0.59,Out of Stock
Trickstar Reincarnation,COTD-EN068,411,Secret Rare,2.39,Out of Stock
Mythic Tree Dragon,SHSP-EN010,4261,Common,0.29,Out of Stock
Number 87: Queen of the Night,NUMH-EN034,1993,Super Rare,0.49,Out of Stock
Speedroid Passinglider,COTD-EN098,2798,Common,0.29,Out of Stock
Vampire Vamp,LART-EN033,1601,Ultra Rare,6.29,Out of Stock
"Hapi, Guidance of Horus",AGOV-EN013,96,Super Rare,0.49,Out of Stock
Archnemeses Eschatos,VASM-EN053,894,Rare,0.39,Out of Stock
Photon Chargeman,LVAL-EN007,4261,Common,0.29,Out of Stock
Scarlight Red Dragon Archfiend,SDCK-EN041,950,Common,0.29,Out of Stock
Sacred Noble Knight of King Artorigus,SHSP-EN087,4177,Ultra Rare,5.19,Out of Stock
Ghostrick Yuki-onna,SHSP-EN019,4261,Common,0.39,Out of Stock
Visas Samsara,AGOV-EN004,586,Secret Rare,0.99,Out of Stock
CXyz Simon the Great Moral Leader,NUMH-EN040,4674,Secret Rare,0.99,Out of Stock
Ashura King,POTE-EN048,586,Secret Rare,1.29,Out of Stock
Mathmech Circular,POTE-EN028,1363,Super Rare,0.49,Out of Stock
Gouki The Great Ogre,COTD-EN045,196,Super Rare,0.49,Out of Stock
Pulse Mines,COTD-EN069,2798,Common,0.29,Out of Stock
Skelesaurus,SHSP-EN037,3302,Common,0.29,Out of Stock
Phantom King Hydride,SDCK-EN014,824,Common,0.29,Out of Stock
Scareclaw Straddle,POTE-EN059,964,Super Rare,0.49,Out of Stock
Fire Ant Ascator,SDCK-EN020,950,Common,0.29,Out of Stock
Ghostrick Jiangshi,SHSP-EN020,1454,Common,0.29,Out of Stock
Sacred Serpent's Wake,SHSP-EN068,4555,Common,0.29,Out of Stock
Chow Chow Chan,SHSP-EN002,4555,Common,0.29,Out of Stock
Cyberdark Edge,LEDU-EN027,1503,Common,0.29,Out of Stock
Vampire Kingdom,SHSP-EN064,1454,Common,0.29,Out of Stock
Gravekeeper's Oracle,LVAL-EN034,502,Ultra Rare,1.29,Out of Stock
Powerful Rebirth,SDCK-EN038,950,Common,0.29,Out of Stock
Bujintei Kagutsuchi,SHSP-EN053,4261,Ultra Rare,4.09,Out of Stock
Embrace of the Tistina,AGOV-EN091,922,Super Rare,0.49,Out of Stock
Reflect Bounder,SDCR-EN016,978,Common,0.59,Out of Stock
Skill Prisoner,LVAL-EN078,4261,Super Rare,0.49,Out of Stock
Bujin Regalia - The Mirror,SHSP-EN063,4261,Rare,0.39,Out of Stock
Card of Sanctity,DPYG-EN025,3820,Rare,0.39,Out of Stock
The Legendary Fisherman III,LEDU-EN020,1412,Common,0.29,Out of Stock
Red-Eyes Fang with Chain,LEDU-EN004,2126,Ultra Rare,13.39,Out of Stock
ZW - Asura Strike,LVAL-EN002,4478,Rare,0.59,Out of Stock
Tearlaments Cryme,POTE-EN073,1363,Common,0.29,Out of Stock
Armored Kappa,SHSP-EN097,4555,Super Rare,1.29,Out of Stock
Runick Slumber,TAMA-EN034,964,Rare,0.39,Out of Stock
Tearlaments Sulliek,POTE-EN072,1363,Common,0.29,Out of Stock
Number C69: Heraldry Crest of Horror,LVAL-EN049,4478,Rare,0.89,Out of Stock
Magical Dimension,YSYR-EN033,1622,Common,0.29,Out of Stock
Yomi Ship,YSKR-EN014,1148,Common,0.29,Out of Stock
Exceed the Pendulum,AGOV-EN045,922,Super Rare,0.59,Out of Stock
Puppet Ritual,NUMH-EN054,4674,Super Rare,0.49,Out of Stock
Starry Dragon's Cycle,AGOV-EN079,922,Super Rare,0.49,Out of Stock
La Jinn the Mystical Genie of the Lamp,YSKR-EN003,502,Common,0.39,Out of Stock
Archfiend Giant,SHSP-EN083,4261,Rare,0.49,Out of Stock
Rose Witch,LVAL-EN093,1923,Common,0.29,Out of Stock
Sylvan Peaskeeper,LVAL-EN015,4261,Rare,0.39,Out of Stock
Dark Hole,YSYR-EN025,236,Common,0.59,Out of Stock
Centur-Ion Legatia,VASM-EN019,586,Quarter Century Secret Rare,21.99,Out of Stock
Recall,COTD-EN078,2798,Rare,0.39,Out of Stock
Amaze Attraction Thrill Train,POTE-EN077,586,Common,0.29,Out of Stock
Imduk the World Chalice Dragon,COTD-EN047,2798,Rare,1.09,Out of Stock
Vampire Duke,SHSP-EN082,1454,Rare,0.39,Out of Stock
Battlecruiser Dianthus,NUMH-EN043,4674,Super Rare,0.49,Out of Stock
Vanguard of the Dragon,YSKR-EN025,1125,Common,0.59,Out of Stock
"Alpacaribou, Mystical Beast of the Forest",LVAL-EN095,4261,Common,0.29,Out of Stock
Time to Stand Up,SDCK-EN036,586,Common,0.29,Out of Stock
Malicevorous Fork,SHSP-EN004,4261,Common,0.29,Out of Stock
Crowned by the World Chalice,COTD-EN018,2798,Common,0.29,Out of Stock
Jade Knight,SDCR-EN014,1980,Common,0.29,Out of Stock
Oh Tokenbaum!,SHSP-EN098,2736,Rare,0.39,Out of Stock
Cyber Dragon Nova,SDCR-EN038,1666,Ultra Rare,3.29,Out of Stock
Machina Armored Unit,SDCR-EN028,2203,Common,0.29,Out of Stock
D/D Vice Typhon,COTD-EN017,3190,Common,0.29,Out of Stock
Chronomaly Sol Monolith,NUMH-EN004,4674,Super Rare,0.49,Out of Stock
Shinonome the Vaylantz Priestess,TAMA-EN001,1342,Ultra Rare,2.09,Out of Stock
Meliae of the Trees,SHSP-EN055,4261,Secret Rare,1.39,Out of Stock
Snake-Eye Birch,AGOV-EN009,586,Super Rare,0.49,Out of Stock
Magician's Valkyria,YSYR-EN023,502,Common,0.89,Out of Stock
Soul Resonator,SDCK-EN001,950,Ultra Rare,3.19,Out of Stock
Black Luster Soldier,DPYG-EN017,1511,Rare,0.89,Out of Stock
Ultimate Slayer,POTE-EN067,68,Starlight Rare,54.19,Out of Stock
EN Wave,POTE-EN053,1363,Super Rare,0.49,Out of Stock
Magicalized Duston Mop,SHSP-EN069,4555,Common,0.29,Out of Stock
Dark Hole Dragon,AGOV-EN020,586,Quarter Century Secret Rare,15.99,Out of Stock
"Kalantosa, Mystical Beast of the Forest",LVAL-EN036,796,Common,0.39,Out of Stock
Battlin' Boxer Rabbit Puncher,SHSP-EN007,992,Common,0.29,Out of Stock
Yellow-Bellied Oni,SHSP-EN033,4555,Common,0.29,Out of Stock
Snapdragon,LVAL-EN094,4478,Common,0.29,Out of Stock
Ghostrick Skeleton,LVAL-EN024,4261,Common,0.39,Out of Stock
Swordsman from a Distant Land,LVAL-EN091,4478,Common,0.29,Out of Stock
Heroic Challenger - Ambush Soldier,NUMH-EN010,4674,Secret Rare,0.99,Out of Stock
Sylvan Mikorange,LVAL-EN081,4261,Rare,0.39,Out of Stock
Evilswarm Exciton Knight,LVAL-EN056,47,Secret Rare,17.19,Out of Stock
Mamonaka the Vaylantz United,TAMA-EN009,1342,Ultra Rare,0.49,Out of Stock
Secret Sanctuary of the Spellcasters,SHSP-EN095,4555,Rare,0.49,Out of Stock
Xyz Shift,LVAL-EN061,4478,Common,0.29,Out of Stock
Grisaille Prison,SHSP-EN078,3351,Rare,0.99,Out of Stock
Primeval Planet Perlereino,POTE-EN060,705,Secret Rare,1.09,Out of Stock
Vaylantz World - Konig Wissen,TAMA-EN013,1342,Super Rare,0.49,Out of Stock
Red Zone,SDCK-EN033,950,Common,0.39,Out of Stock
Gadget Gamer,POTE-EN094,1300,Common,0.29,Out of Stock
Protecting Spirit Loagaeth,VASM-EN041,894,Rare,0.39,Out of Stock
Nemleria Repeter,AGOV-EN077,922,Common,0.29,Out of Stock
Pitknight Earlie,POTE-EN083,964,Common,0.29,Out of Stock
Number 63: Shamoji Soldier,NUMH-EN031,4674,Super Rare,0.59,Out of Stock
Birthright,YSKR-EN047,756,Common,0.29,Out of Stock
I.A.S. -Invasive Alien Species-,AGOV-EN023,586,Common,0.29,Out of Stock
Shadow Vampire,SHSP-EN030,1454,Secret Rare,1.59,Out of Stock
